experimentId;device_id;motion_tag;userPhoneLocation;timestamp;pressure;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790061000;979.51685000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790062000;979.49730000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790063000;979.48804000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790064000;979.47190000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790065000;979.48830000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790066000;979.50660000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790067000;979.48755000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790068000;979.51514000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790069000;979.48706000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790070000;979.48020000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790071000;979.48240000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790072000;979.49243000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790073000;979.51980000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790074000;979.53930000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790075000;979.49510000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790076000;979.48020000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790077000;979.50757000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790078000;979.49270000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790079000;979.50540000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790080000;979.49510000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790081000;979.47830000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790082000;979.47656000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790083000;979.49414000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790084000;979.50195000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790085000;979.53270000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790086000;979.51807000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790087000;979.48804000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790088000;979.51370000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790089000;979.50244000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790090000;979.47754000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790091000;979.49680000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790092000;979.49780000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790093000;979.46606000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790094000;979.49070000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790095000;979.48780000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790096000;979.46510000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790097000;979.48510000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790098000;979.49680000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790099000;979.51733000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790100000;979.49585000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790101000;979.48460000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790102000;979.50390000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790103000;979.51904000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790104000;979.49976000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790105000;979.49120000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790106000;979.50586000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790107000;979.52760000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790108000;979.50120000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790109000;979.50290000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790110000;979.48880000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790111000;979.45580000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790112000;979.50340000;
BadanieZmianCisnienia;SM-G935F;Lezy;Na stoliku;1617790113000;979.49390000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790114000;979.47705000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790115000;979.45874000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790116000;979.43090000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790117000;979.44090000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790118000;979.46094000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790119000;979.46340000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790120000;979.41870000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790121000;979.38770000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790122000;979.37210000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790123000;979.40550000;
BadanieZmianCisnienia;SM-G935F;Bieganie;Na stoliku;1617790124000;979.38110000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790125000;979.39966000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790126000;979.40260000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790127000;979.38306000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790128000;979.39060000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790129000;979.41360000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790130000;979.42017000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790131000;979.41064000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790132000;979.38403000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790133000;979.39380000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790134000;979.40674000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790135000;979.42480000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790136000;979.37840000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790137000;979.39260000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790138000;979.39430000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790139000;979.38430000;
BadanieZmianCisnienia;SM-G935F;Idzie powoli;Na stoliku;1617790140000;979.37964000;
